epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.493,1.65792,2.83992,1.98481,0.78186,0.49974,0.51899,0.32683,1.19659,1.7361,2.24929,0.00041441,0.00041441,0.00041441
2,224.342,1.19884,1.35294,1.72394,0.63849,0.66832,0.65649,0.46995,1.04177,1.19687,2.0883,0.000834763,0.000834763,0.000834763
3,331.358,1.0934,1.04395,1.63496,0.6642,0.81887,0.76443,0.56046,0.96827,1.01415,1.97275,0.00124663,0.00124663,0.00124663
4,438.137,1.04232,0.95534,1.59031,0.79971,0.84369,0.84558,0.64597,0.90794,0.85298,1.84629,0.00138656,0.00138656,0.00138656
5,545.123,0.98985,0.88687,1.54639,0.82762,0.85686,0.88237,0.68733,0.86432,0.79118,1.89742,0.00137241,0.00137241,0.00137241
6,651.972,0.98313,0.83207,1.52876,0.81793,0.8764,0.8929,0.6997,0.84745,0.74961,1.72619,0.00135826,0.00135826,0.00135826
7,758.7,0.94185,0.79783,1.51898,0.83044,0.88903,0.90511,0.7282,0.78647,0.68458,1.71233,0.00134412,0.00134412,0.00134412
8,956.92,0.92663,0.73001,1.4991,0.86095,0.87644,0.91632,0.74413,0.7844,0.68166,1.75675,0.00132997,0.00132997,0.00132997
9,1062.76,0.89768,0.72118,1.48114,0.83073,0.9149,0.92337,0.76635,0.74098,0.64432,1.89768,0.00131582,0.00131582,0.00131582
10,1169.16,0.90886,0.69528,1.48673,0.85548,0.90867,0.9357,0.78512,0.74783,0.62054,1.65577,0.00130168,0.00130168,0.00130168
11,1276.34,0.85908,0.66997,1.44755,0.89029,0.90766,0.94065,0.77407,0.73605,0.59496,1.64129,0.00128753,0.00128753,0.00128753
12,1383.88,0.8637,0.66548,1.46593,0.89204,0.89352,0.94134,0.78601,0.71407,0.59505,1.88127,0.00127338,0.00127338,0.00127338
13,1490.92,0.85659,0.63883,1.46562,0.91433,0.91395,0.95161,0.8072,0.68766,0.55188,1.96873,0.00125923,0.00125923,0.00125923
14,1597.68,0.84408,0.63022,1.41718,0.91384,0.93045,0.95469,0.80566,0.68543,0.53701,1.86948,0.00124509,0.00124509,0.00124509
15,1704.13,0.8281,0.61895,1.43608,0.91498,0.92844,0.95572,0.8149,0.66987,0.53312,1.92262,0.00123094,0.00123094,0.00123094
16,1811.88,0.82988,0.60986,1.39823,0.90934,0.93332,0.95458,0.81054,0.69408,0.54472,1.79092,0.00121679,0.00121679,0.00121679
17,1920.14,0.8377,0.61977,1.42795,0.92827,0.9208,0.95628,0.81478,0.67285,0.53217,1.8077,0.00120265,0.00120265,0.00120265
18,2027.89,0.82271,0.60682,1.41864,0.92824,0.92538,0.95673,0.80579,0.68158,0.5232,1.80347,0.0011885,0.0011885,0.0011885
19,2135.33,0.81659,0.58438,1.4306,0.92219,0.92689,0.95908,0.81058,0.6866,0.52281,1.64397,0.00117435,0.00117435,0.00117435
20,2241.63,0.82499,0.59125,1.43526,0.93888,0.92408,0.96131,0.82146,0.6704,0.51253,1.72863,0.00116021,0.00116021,0.00116021
